model,accuracy,f1_macro,f1_weighted,elapsed_seconds
MLP,0.45073375262054505,0.45078791202661783,0.4502413641459458,31.60878879998927
Soft Voting Ensemble,0.49056603773584906,0.4281821042570589,0.46862376723109767,34.637592199957
