accuracy,loss,val_accuracy,val_loss,train_f1_weighted,val_f1_weighted,learning_rate,epoch
0.2578740119934082,1.7754244804382324,0.3193717300891876,1.543241024017334,0.320630560380308,0.3161741751026213,0.0010000000474974513,1
0.3333333432674408,1.5702637434005737,0.37172773480415344,1.4785956144332886,0.3785048772273444,0.3636523237984762,0.0010000000474974513,2
0.33202099800109863,1.525735855102539,0.4083769619464874,1.4414490461349487,0.42666127929721714,0.4026089431550883,0.0010000000474974513,3
0.3720472455024719,1.4661959409713745,0.37958115339279175,1.4368873834609985,0.447697772970775,0.3784261020074871,0.0010000000474974513,4
0.37926509976387024,1.445909857749939,0.3926701545715332,1.4175254106521606,0.4665490233205942,0.38604653778400844,0.0010000000474974513,5
0.3799212574958801,1.432699203491211,0.37958115339279175,1.4055204391479492,0.46585820876997613,0.37640080611467,0.0010000000474974513,6
0.3930446207523346,1.409925103187561,0.3821989595890045,1.3988792896270752,0.46094113588716995,0.3836813669172677,0.0010000000474974513,7
0.40223097801208496,1.3759359121322632,0.41623038053512573,1.3888274431228638,0.48798813483037085,0.4158916510971642,0.0010000000474974513,8
0.4127296507358551,1.3634634017944336,0.4214659631252289,1.3808846473693848,0.48038494930416575,0.42269522586946645,0.0010000000474974513,9
0.404199481010437,1.375118374824524,0.4214659631252289,1.3660567998886108,0.487157015307292,0.4214191642625569,0.0010000000474974513,10
0.432414710521698,1.325218915939331,0.4397905766963959,1.349419116973877,0.4979929403626189,0.4376338341191106,0.0010000000474974513,11
0.42650917172431946,1.3133958578109741,0.4293193817138672,1.3421571254730225,0.5148049370255934,0.4261403640504936,0.0010000000474974513,12
0.4396325349807739,1.3217499256134033,0.4293193817138672,1.3360536098480225,0.5090513359426135,0.4283409383490948,0.0010000000474974513,13
0.4376640319824219,1.3170918226242065,0.42408376932144165,1.3473098278045654,0.5264371781295801,0.42512100542489034,0.0010000000474974513,14
0.4481627345085144,1.2824128866195679,0.4188481569290161,1.3426909446716309,0.5354037566702553,0.4213818790191839,0.0010000000474974513,15
0.4527558982372284,1.2813152074813843,0.41623038053512573,1.3265842199325562,0.5436616839350433,0.41683821539797355,0.0010000000474974513,16
0.432414710521698,1.278693437576294,0.4188481569290161,1.3371142148971558,0.5345074352536345,0.42134632658060844,0.0010000000474974513,17
0.443569540977478,1.2589260339736938,0.4109947681427002,1.3360158205032349,0.5268908396962696,0.41070881030117146,0.0010000000474974513,18
0.44947507977485657,1.255841612815857,0.41361257433891296,1.3288301229476929,0.5237230368286397,0.4154117676348523,0.0010000000474974513,19
