method,eps,min_samples,n_clusters,noise_fraction,silhouette,elapsed_seconds,adjusted_rand,normalized_mutual_info
DBSCAN,2.9081402687467985,10,4,0.31217208814270725,0.2508168327431358,0.03988299999036826,0.012930112266189222,0.018948987421978977
DBSCAN,3.0296548518353807,10,5,0.2812172088142707,0.23029771567796772,0.04282980001880787,0.012206020696841846,0.022349276864990473
DBSCAN,3.1511694349239634,10,7,0.2497376705141658,0.17594686253278807,0.045919900003354996,0.013128981236471977,0.025085929874834826
DBSCAN,3.2726840180125456,10,5,0.23294858342077648,0.20585079391563618,0.04538470000261441,0.010221913658813185,0.017941450342004613
DBSCAN,3.394198601101128,10,4,0.20041972717733472,0.25602548344831455,0.04477149999001995,0.004688596637321716,0.016452212761879245
DBSCAN,3.5157131841897105,10,5,0.17733473242392445,0.21811957431364906,0.05622209998546168,0.0034110132574536565,0.01724906114003614
DBSCAN,3.6372277672782927,10,6,0.14270724029380902,0.20100798123689453,0.057869300013408065,0.004380124127490604,0.02592921017145752
DBSCAN,3.758742350366875,10,3,0.11647429171038824,0.29480450324098584,0.05520760000217706,0.0026238068210340604,0.01945202149308349
DBSCAN,3.8802569334554575,10,2,0.10912906610703044,0.2985287362895909,0.049615099997026846,0.0038432618377125735,0.013409929318323521
DBSCAN,4.001771516544039,10,3,0.09024134312696747,0.2658049418322145,0.05814010000904091,0.003324858814184309,0.016118573374635126
DBSCAN,4.123286099632622,10,4,0.07240293809024134,0.24819267222764618,0.05712460001814179,0.004132058215249049,0.018186582297624484
DBSCAN,4.244800682721205,10,3,0.06925498426023086,0.424055752641824,0.055457200011005625,0.00446062397847426,0.007858898550626311
DBSCAN,4.366315265809787,10,2,0.06190975865687303,0.43535584583211046,0.0561048999952618,0.004604379624265709,0.00675596566726883
DBSCAN,4.487829848898369,10,2,0.055613850996852045,0.4363181206752652,0.06257500001811422,0.0040627989551933405,0.007859465849014589
DBSCAN,4.609344431986951,10,2,0.048268625393494226,0.43055195572651034,0.0702482000051532,0.004129514231306783,0.00885991541353955
DBSCAN,4.730859015075534,10,2,0.04407135362014691,0.4249691846742138,0.06938080000691116,0.004839826657103336,0.010609725272872723
DBSCAN,4.8523735981641165,10,1,0.040923399790136414,,0.05781340002431534,0.004862803176946541,0.006931395373748225
DBSCAN,4.973888181252699,10,1,0.03672612801678909,,0.05933930000173859,0.004717690105014171,0.007322802070185531
DBSCAN,5.095402764341281,10,1,0.033578174186778595,,0.06108169999788515,0.004910276278110149,0.007263400356721591
DBSCAN,5.216917347429863,10,1,0.02833158447009444,,0.0625568000250496,0.004248635944216068,0.006794619076064566
DBSCAN,5.338431930518446,10,1,0.026757607555089193,,0.06496419999166392,0.0044606098404763395,0.008345546300616775
DBSCAN,5.4599465136070275,10,1,0.023084994753410283,,0.06743689998984337,0.0035459923456673064,0.005373833330998292
DBSCAN,5.581461096695611,10,1,0.020461699895068207,,0.10370639999746345,0.0035203872419989823,0.005047794233817038
DBSCAN,5.702975679784193,10,1,0.01993704092339979,,0.08909599998150952,0.0033166839536848945,0.005196166989827768
