species_id,decision_zone,n_observations,accuracy,mean_probability
10,Zona de Incertidumbre,58,0.1896551724137931,0.5818713686428779
10,Zona de Rechazo,11,0.45454545454545453,0.34610374076355127
12,Zona de Confianza,1,0.0,0.8506185390808954
12,Zona de Incertidumbre,59,0.3050847457627119,0.5819516586163883
12,Zona de Rechazo,10,0.6,0.3591498579840984
17,Zona de Confianza,6,0.8333333333333334,0.8713366817290541
17,Zona de Incertidumbre,108,0.6018518518518519,0.5975234608550195
17,Zona de Rechazo,16,0.5625,0.35340579895223695
18,Zona de Incertidumbre,62,0.25806451612903225,0.5681818851373364
18,Zona de Rechazo,7,0.0,0.3714157666081599
23,Zona de Confianza,2,0.5,0.9325650759453484
23,Zona de Incertidumbre,130,0.7307692307692307,0.5952007927104861
23,Zona de Rechazo,7,0.42857142857142855,0.3361532106398168
