decision_zone,n_observations,coverage,accuracy,mean_probability
Zona de Confianza,9,0.018867924528301886,0.6666666666666666,0.8826409757051018
Zona de Incertidumbre,417,0.8742138364779874,0.49160671462829736,0.5880565969853093
Zona de Rechazo,51,0.1069182389937107,0.45098039215686275,0.35306108533748387
